Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49	Gene_50
Cell_55	11.674	11.555	11.976	11.803	11.893	11.562	11.628	10.976	11.154	11.326	11.388	10.764	11.59	11.618	11.739	11.064	11.2	11.729	11.768	11.764	10.825	10.938	11.588	11.538	11.67	11.319	11.219	9.6808	10.938	11.333	11.308	9.2134	9.2076	9.4962	11.515	11.605	10.633	11.022	11.067	11.042	11.169	11.801	11.646	11.263	11.557	11.602	10.542	12.121	11.649	11.48
Cell_56	4.5013	4.6122	4.9794	5.1919	4.8109	5.1963	4.5021	4.4876	4.1686	4.7521	4.447	5.6695	4.7734	4.7749	4.5753	4.4068	4.316	4.5405	4.5986	4.486	4.0592	4.3178	5.1176	4.8277	5.7137	4.4628	4.3588	6.2866	5.4342	4.2839	5.0595	4.596	4.8891	4.8665	4.8639	4.5028	5.2204	4.3459	4.4503	4.4513	4.3062	4.7368	4.701	5.2115	4.4515	4.4624	4.82	4.9437	4.6561	4.6908
Cell_57	8.2159	8.229	6.7272	7.016	6.7502	7.6157	7.3673	8.1998	7.7983	8.5722	8.6057	8.2672	6.3568	6.6178	6.2461	7.5087	7.7908	6.362	6.3332	6.3285	7.4764	7.6096	7.6438	7.7626	9.8113	8.4834	8.2912	7.9383	8.1779	7.8595	7.5973	7.1761	7.2756	7.2725	8.5863	8.4675	8.4449	7.5299	7.5233	8.6221	8.6252	7.1544	6.9164	6.7671	8.736	8.8049	8.0331	9.1249	9.1037	8.9968
Cell_58	8.2925	8.2027	9.1068	9.203	9.0112	9.2549	9.3034	8.3039	8.4203	8.1184	8.3674	8.0442	9.1286	9.2729	9.2846	8.9186	8.674	9.1385	9.1503	9.0451	8.779	8.7288	9.4407	9.1478	8.7651	8.0565	8.2399	8.0496	8.6947	8.3277	8.2548	8.0626	7.9569	7.8619	8.1148	8.3316	8.0818	8.4768	8.499	8.1555	8.0964	8.8593	8.6663	8.7955	8.29	8.1014	8.4839	8.8914	8.6773	8.5718
Cell_59	7.606	7.765	7.4824	7.6822	7.691	8.0677	8.0467	8.1189	8.2233	7.8443	7.9488	7.1397	7.5529	7.7739	7.2197	7.8393	7.5351	7.3738	7.4078	7.4756	7.6313	7.7697	8.0434	8.0291	8.1017	7.902	7.8098	7.4621	7.7325	7.7265	7.751	8.2339	8.2169	8.2396	7.9431	7.9995	7.6236	7.634	7.593	7.7017	7.626	7.7619	7.6159	7.5578	8.0812	8.1041	8.2251	7.328	7.6006	7.6727
Cell_60	7.3178	7.7269	8.8382	8.6601	8.601	8.3779	8.101	7.7695	8.1277	8.1488	8.2819	9.0766	8.4829	8.2765	8.7453	7.8146	8.346	8.8772	8.8114	9.103	8.0654	8.1286	8.1884	8.3402	8.5985	8.1525	8.3435	8.3406	8.5521	8.0036	7.9456	8.7417	9.2101	9.3546	8.3538	8.2071	7.209	8.1817	8.29	8.5992	8.547	8.8938	8.7261	9.3123	8.388	8.3824	8.2487	8.2246	8.2283	8.1274
Cell_61	8.9339	8.8845	8.3835	8.3644	8.2077	8.8534	8.1771	8.7536	8.8587	8.706	8.6347	8.5797	8.2464	8.3016	8.1981	8.6405	8.8292	8.0933	8.0016	8.1424	8.5474	8.6561	8.7103	8.5475	9.1837	8.814	8.8837	8.6214	8.815	8.5021	8.4849	8.3444	8.6971	7.999	9.2014	8.9767	7.9279	8.468	8.475	8.8939	8.7645	8.5821	8.5908	8.2964	8.9971	8.8954	8.6592	7.871	8.7942	8.6942
Cell_62	8.2076	8.3403	8.8302	8.6138	8.6405	8.4069	8.2069	8.2988	7.6744	8.5014	8.5068	7.7988	8.3685	8.3619	8.1603	8.0265	8.0691	8.2337	8.3644	8.113	8.1203	8.0765	8.1635	8.4025	8.555	8.4438	8.2771	7.9121	8.0705	8.2106	8.0725	8.6562	8.5132	8.5603	8.3359	8.6856	8.0196	8.2329	8.174	8.2102	8.3087	8.5085	8.4215	8.2289	8.5578	8.5345	8.3228	8.2365	8.5059	8.584
Cell_63	8.8561	8.6936	11.568	11.888	11.857	10.021	10.112	9.2602	9.1962	9.3	9.4435	10.604	11.694	11.827	11.738	9.016	8.9	10.658	10.791	10.584	8.7784	8.7137	9.9902	9.9827	9.7937	9.5477	9.3957	10.267	12.2	8.6398	8.9713	10.154	10.015	9.8269	9.3032	9.4145	9.6977	8.7152	8.7955	8.8117	8.8147	9.5091	9.2167	10.257	9.3492	9.5109	12.31	13.179	10.074	10.314
Cell_64	8.7714	9.7468	9.162	8.2532	8.2952	8.5204	8.1089	8.4683	8.8597	8.7213	8.6505	8.4954	7.7645	8.3509	8.1036	8.3985	8.2737	8.4145	8.4353	9.0549	8.0786	8.245	8.3677	8.7154	8.2658	9.2509	10.602	8.7744	8.3778	8.4868	8.1176	8.8597	8.0666	8.6094	8.5199	8.8037	8.3898	9.1359	8.3412	8.8693	9.9356	8.3412	8.4399	8.433	8.555	8.3904	8.7714	8.2703	8.5913	7.9485
Cell_65	8.3445	8.5292	7.7367	8.1298	7.805	7.7536	7.0301	7.6118	7.5131	8.5219	9.032	8.9909	8.3808	8.3836	8.7557	9.3559	9.6768	8.4082	8.4712	8.9822	9.1012	9.1715	7.7336	7.7154	7.784	8.4135	8.425	8.8628	9.1027	8.1	7.9046	6.4752	6.5967	6.4764	8.8486	8.3978	8.434	8.7609	8.7955	9.4151	9.6075	7.7341	7.7084	8.4587	8.9852	8.5775	9.1164	8.6852	9.2495	9.1856
Cell_66	8.4549	8.1601	8.2684	8.4481	8.2669	8.9744	8.8956	8.8257	8.8839	8.8465	8.8068	8.113	7.8499	7.8811	7.5971	8.498	8.4866	7.8655	7.8484	7.8657	8.5038	8.3164	8.5543	8.7285	11.146	8.7626	8.5055	7.542	8.7791	8.3175	8.3557	8.7329	9.1006	8.6782	8.8567	8.4667	9.0566	8.6885	8.8475	8.3666	8.4402	8.6098	8.4494	8.4732	8.841	8.7455	9.1086	9.6685	8.4595	8.6444
Cell_67	7.6833	7.7856	7.3875	7.5178	7.5375	7.7203	7.761	8.4711	8.4468	7.9971	7.9379	7.1839	7.5801	7.6855	7.5139	7.4741	7.499	7.7078	7.2243	7.1191	7.4763	7.4369	7.6218	7.8447	8.0654	8.0777	7.7026	7.9797	7.5549	7.6061	7.7188	8.1896	8.4027	8.1163	8.0061	8.1647	7.8295	7.5979	7.6381	7.7749	7.7243	7.5607	7.4168	7.0764	8.3853	8.3757	8.2079	7.588	7.5646	7.6441
Cell_68	9.5543	9.457	9.7471	9.5623	9.5652	9.9483	9.824	9.2331	9.2159	9.4015	9.4275	9.6604	9.8789	9.8203	10.164	9.9618	10.311	9.8765	9.7239	10.175	9.4256	9.5504	9.8764	9.8052	9.0813	9.6811	9.3116	9.291	9.9238	9.6211	9.6444	7.9941	8.0847	8.1978	9.388	9.483	9.0113	9.3664	9.4133	9.6409	9.7501	10.096	9.9547	9.3532	9.3985	9.4505	9.198	9.4677	9.613	9.4072
Cell_69	7.505	7.9798	8.2061	8.4954	8.4195	8.7209	8.3186	8.4341	8.1885	8.3613	8.3957	6.9014	8.8637	9.1963	9.4707	9.3836	9.45	8.9377	9.0543	9.8102	9.663	9.7025	8.8303	8.7086	8.2897	8.4016	8.148	7.0477	8.2137	7.9723	8.0314	7.073	7.2927	7.2067	8.7377	8.5363	7.5107	8.6875	8.38	8.3366	8.2263	7.6086	7.4454	7.4329	8.1065	8.3243	8.3013	8.4874	8.5645	8.6112
Cell_70	8.1552	7.4877	7.6527	7.7248	7.6674	7.3943	7.5976	7.4582	8.4804	7.6191	7.4514	7.1483	7.2493	7.4412	7.6816	7.7307	7.4547	7.0753	7.7533	7.8526	7.5657	7.7688	7.5669	7.5017	7.7058	7.604	7.7109	7.5381	7.5045	8.63	6.8259	7.6244	7.2665	7.8284	7.7728	8.0166	7.5988	7.5067	7.2863	7.4078	7.3242	7.7248	7.8526	7.4974	7.6712	7.4582	7.6458	8.1308	7.4789	7.6413
Cell_71	8.2968	8.2348	8.4992	8.5823	8.5404	8.0122	8.128	7.9192	7.7822	8.318	8.1925	8.4906	8.2516	8.5222	8.7071	8.3158	8.5299	8.5152	8.4654	8.7737	8.3399	8.3344	8.1568	8.0837	8.1736	8.0894	8.1099	8.3484	8.1965	8.1256	8.2584	7.879	7.9976	7.8211	8.6145	8.1265	7.9157	8.3129	8.3711	8.1043	8.189	8.4277	8.4951	8.6372	8.1642	8.1063	7.9257	8.3752	8.3936	8.3089
Cell_72	7.9863	8.1811	8.796	8.6591	8.477	8.7925	8.7465	8.4577	8.6598	8.0997	8.3101	7.6152	8.0961	8.3906	8.325	8.1983	8.4506	9.0261	8.7578	8.5354	8.3575	8.2874	8.7078	8.8594	9.0594	7.9812	8.0786	7.4423	8.2307	8.5304	8.305	7.9328	8.0118	7.6116	8.2516	8.063	8.0911	8.1364	8.2593	8.1734	8.1002	8.4297	8.3777	8.4425	8.1187	8.067	8.7785	9.3362	8.5825	8.4626
Cell_73	9.3863	9.3141	10.149	10.208	10.152	9.3884	9.457	9.4111	9.2297	9.9251	9.849	9.7044	10.413	10.746	10.701	10.106	10.1	10.475	10.511	10.495	9.9233	9.9381	9.3177	9.2136	9.9923	9.6037	9.4965	8.7684	9.6249	9.3508	9.1033	11.017	10.928	11.045	9.9328	9.4037	9.6258	10.518	10.359	9.3312	9.3428	10.744	10.806	10.565	9.6925	9.8103	9.9182	11.028	9.7011	9.7091
Cell_74	9.1501	9.1732	9.6674	9.385	9.4851	8.9238	9.0896	8.1511	8.195	8.8866	8.8399	8.4656	9.5956	9.7678	9.8161	8.58	8.8548	9.382	9.4234	9.5921	8.5104	8.4995	8.9531	8.9203	8.2769	8.7533	8.5608	9.1396	8.378	8.8409	8.668	8.6095	8.554	8.5142	9.174	8.693	8.4838	8.5072	8.6656	8.8508	8.7727	9.208	9.1778	9.2262	8.9779	8.9166	8.2801	8.6806	9.359	8.9375
Cell_75	6.7404	6.6648	6.6707	6.892	6.912	6.2748	6.2121	7.3976	7.0801	6.6493	6.4773	6.842	6.4222	6.4058	6.8211	6.3039	6.421	6.8048	6.7995	6.8658	6.4533	6.3295	6.2369	6.2699	6.377	7.0884	6.9685	7.8221	6.7422	6.7568	6.8139	8.3118	8.1223	8.3261	6.4938	6.8013	7.183	6.4781	6.2784	6.7068	6.5769	6.585	6.5655	7.0852	7.1791	6.9805	6.293	5.1425	6.3994	6.4543
Cell_76	7.9377	8.221	7.9006	7.8734	7.8893	8.1789	7.4657	8.6525	8.1649	8.1938	8.2977	12.11	7.7936	7.9676	8.1062	7.8023	8.0101	7.9743	7.8267	8.1017	8.1197	7.992	7.8716	7.7879	7.921	8.436	8.3372	8.443	12.294	8.1884	8.2177	8.1265	8.1774	8.1273	8.4532	8.1716	8.2892	8.2517	8.0417	8.3521	8.2457	7.9344	7.7769	7.4918	8.5383	8.3913	8.5402	8.1382	8.2663	8.3579
Cell_77	9.0109	9.0591	8.4808	8.5092	8.455	9.1134	9.0629	10.126	10.535	9.4554	9.3844	9.3849	7.8482	7.9142	7.6603	9.7823	9.7073	8.4899	8.2886	8.5121	9.5647	9.5989	9.3594	9.2193	12.275	9.3596	9.492	9.2014	12.187	8.7747	8.9783	9.7182	9.6572	9.835	9.3978	8.9604	9.513	8.8886	8.9953	9.2192	9.1364	9.74	9.497	10.484	9.6196	9.5209	10.557	11.63	9.4015	9.43
Cell_78	7.9742	8.3145	8.2044	8.1027	7.8937	9.1181	8.4482	8.8442	8.934	8.9085	8.8196	8.8278	7.8961	7.9397	7.9706	10.595	10.379	7.5874	7.4707	7.1966	8.8614	8.6882	8.9339	9.0849	9.2395	8.8468	8.7312	8.6369	10.572	8.6619	8.7336	7.788	8.1908	7.749	8.9394	8.6734	8.9476	8.5835	8.4074	8.3676	8.4475	7.1917	6.7631	6.7949	8.5095	8.7798	8.5348	9.1088	8.1803	8.3564
Cell_79	7.899	8.2302	9.677	9.1792	9.0168	8.3782	8.2446	9.0399	8.8768	9.0533	8.8584	7.5054	9.3513	9.2792	9.4321	9.4192	9.1976	8.7735	8.6106	8.2452	8.4762	8.3761	8.0953	8.2181	8.4786	9.7272	9.5948	7.7115	8.1018	8.3095	8.2049	9.0609	9.2164	9.212	8.8258	8.5811	8.9136	8.7157	8.4265	8.1669	8.1466	8.1505	7.7672	7.8082	9.7394	9.4194	9.7488	8.4148	8.1469	8.155
Cell_80	9.4923	9.3444	9.0972	9.2581	9.0607	8.0247	8.1095	9.0564	9.1019	9.7966	9.7028	10.101	9.005	9.2595	9.3877	9.836	9.6889	9.1236	9.1397	9.4693	9.2495	9.4286	7.9983	7.957	9.0015	9.3438	9.5107	8.2769	10.026	9.1327	8.8617	9.073	8.5302	8.7307	10.036	9.0765	9.6418	9.2528	9.2622	9.4941	9.7961	9.1786	9.3297	9.8023	9.9126	9.5604	9.9044	10.081	9.7034	9.7083
Cell_81	9.6605	9.948	8.9845	9.0316	10.032	9.5295	8.8623	10.663	9.0087	9.911	9.2767	10.472	10.436	8.9042	10.565	10.464	9.4872	10.218	8.9903	8.5574	10.91	9.8464	9.1563	9.5233	8.4961	9.0999	9.0851	8.7214	9.636	8.8898	10.092	10.422	9.1118	10.16	8.196	9.6529	10.797	9.709	9.8136	10.144	8.5658	8.7515	8.516	9.9224	10.056	9.802	10.004	9.474	9.0579	8.8195
Cell_82	7.8665	7.9732	7.4282	7.7988	7.5772	7.5202	7.6044	8.3993	7.6684	7.9025	7.8383	8.2543	6.7702	6.9547	6.8751	7.3772	7.4847	6.9647	6.8872	7.2407	7.5018	7.5157	7.5641	7.9357	8.4245	7.8522	7.5358	8.6723	8.0485	7.7723	7.4595	7.1781	6.978	7.0434	7.6748	7.9998	8.4286	7.5233	7.4162	8.581	8.4201	7.3781	7.2241	7.2208	7.9964	8.0513	7.7902	8.6322	8.2493	8.3252
Cell_83	7.9233	7.8307	7.5483	7.5258	7.3593	8.0469	8.1845	7.5661	7.6223	8.0565	8.1237	7.8153	7.4699	7.6306	7.744	7.5581	7.3082	7.3716	7.4046	7.6015	7.4999	7.5651	8.1195	8.0963	7.4191	8.2178	8.3375	7.6888	7.0712	7.5461	7.5918	7.5246	7.3219	6.9823	8.354	7.9555	7.6221	7.5692	7.6891	7.5119	7.6209	7.5176	7.4601	7.7811	8.5418	8.6873	7.2497	7.0151	8.6188	8.3163
Cell_84	10.161	10.097	9.9442	9.7994	9.9717	9.7936	9.609	8.8783	8.909	9.986	10.273	10.263	9.4346	9.5819	9.6365	9.5931	9.6308	9.5345	9.599	10.603	9.8062	10.018	9.3488	9.3684	12.181	9.8709	9.9009	8.4404	9.684	10.012	9.8331	8.287	8.3669	8.095	10.188	10.008	10.003	9.361	9.4771	10.267	10.619	10.054	9.9305	10.235	10.048	9.8889	9.6312	10.027	9.9995	9.9718
Cell_85	9.6327	9.6635	8.6705	8.583	8.8038	7.8798	7.9986	9.1772	8.6064	8.6698	8.4804	9.7273	8.1364	8.4376	8.6467	9.4687	9.7081	9.0634	8.8759	8.7128	8.4601	8.9182	7.9486	8.2067	9.6045	8.4032	8.5138	8.0818	8.9152	8.7752	8.6531	8.451	8.2945	8.2005	8.6517	8.7183	7.8819	8.2779	8.4353	8.6455	8.6403	8.3885	8.4962	7.7561	8.3668	8.3379	8.5395	10.242	9.0145	8.9009
Cell_86	10.302	10.324	10.136	9.9273	10.045	9.9333	10.121	10.531	10.299	9.6102	9.5897	10.167	9.7499	9.7405	9.9675	9.7956	10.163	9.7903	9.9352	9.6212	9.7804	9.8927	10.64	10.491	9.1995	9.6821	9.6165	8.9119	9.907	10.235	10.235	8.9673	9.2571	9.2157	9.9172	9.2331	8.186	9.833	9.8846	10.713	10.729	9.7018	9.9437	9.4502	9.8952	9.6521	9.1232	10.191	10.666	10.375
Cell_87	10.19	10.03	10.118	10.076	10.129	9.7765	10.021	7.4315	7.4627	9.8526	9.6657	8.9045	10.206	10.217	10.027	10.011	10.021	10.581	10.446	10.23	9.7723	9.7914	9.7389	9.7005	9.1977	9.2411	9.1176	7.2259	8.8105	10.267	10.087	8.3299	7.9221	8.054	9.9966	9.2239	8.0678	9.9466	10.081	8.9481	9.3039	10.379	10.386	9.8386	9.5172	9.6119	7.8406	9.4421	10.071	9.6503
Cell_88	7.338	7.6404	7.2222	7.1914	7.8954	8.6721	7.2607	8.4241	7.5378	7.0298	7.8642	6.9435	7.544	7.2667	6.6707	7.2931	6.6626	7.0537	7.1467	7.5843	6.8083	6.9791	7.5378	7.6205	7.6178	7.1288	6.836	7.5166	7.0921	6.8978	7.3484	6.9965	7.3994	8.017	7.0316	7.5337	6.8686	7.9116	8.462	7.5378	7.1082	6.125	6.7071	6.8513	6.5695	7.5151	6.6704	7.1518	7.0221	7.0396
Cell_89	7.9387	7.9541	8.641	8.6968	8.4204	7.8936	7.834	7.4071	7.5959	8.4438	8.5123	9.8492	8.7227	8.9704	9.034	8.1977	8.3009	7.5732	7.7601	7.8678	7.6318	7.6804	7.9662	7.9554	11.878	7.9734	7.8324	8.1467	10.76	8.3138	8.3207	7.3297	7.1131	6.8355	8.6383	7.821	7.7552	8.3109	8.4417	7.3593	7.5499	7.9034	7.9757	8.6943	8.2443	8.3526	6.8494	8.6549	9.3895	9.2401
Cell_90	7.3451	7.619	7.7522	7.5231	7.4406	7.7442	7.6871	8.747	8.8641	8.0197	7.8412	8.5868	7.5262	7.5157	7.3125	8.2713	8.3915	7.7395	7.6732	7.5654	7.8957	8.0214	7.6438	7.8126	8.0446	8.1522	7.8715	8.4785	8.2289	7.6016	7.6618	9.5255	9.5084	9.4578	7.8222	7.9522	8.3196	7.8207	7.7933	8.7756	8.5924	9.0076	8.9542	8.5954	8.2079	8.0993	8.4779	7.9981	7.5007	7.6552
Cell_91	8.1095	8.1046	8.3992	8.5286	8.5581	8.031	7.9393	8.2104	8.3272	7.6546	7.6123	8.5427	7.9066	8.0077	8.6075	7.3375	7.9078	8.2175	8.3647	8.1713	7.1939	7.4583	7.9729	8.1689	7.8844	7.761	7.9111	7.8324	8.4913	7.4951	7.5823	8.0199	8.021	7.9649	8.1538	7.8567	7.0182	7.243	7.1107	8.6655	8.6051	8.3457	8.4392	7.3098	7.821	8.1883	7.5871	7.834	8.2885	8.0894
Cell_92	10.286	10.209	11.065	10.965	11.036	10.869	10.813	10.23	10.23	10.364	10.533	10.219	11.266	11.266	11.48	10.911	10.756	11.017	10.998	11.07	10.787	10.772	10.895	10.686	8.9601	10.257	10.026	8.9485	10.102	10.631	10.556	10.808	10.818	11.02	10.618	10.276	10.394	10.712	10.784	10.127	10.079	10.227	10.129	10.367	10.783	10.551	10.569	9.2735	10.488	10.423
Cell_93	9.5634	9.7408	11.137	11.415	11.211	7.2069	7.3627	13.062	13.282	8.2929	8.7169	10.035	9.938	10.158	10.841	10.214	10.089	10.657	10.519	10.504	8.6293	8.8066	7.2409	7.385	9.4429	9.2867	9.189	9.2999	9.0253	9.0935	8.9084	11.669	11.712	11.763	8.4811	8.1103	12.861	8.7505	8.6442	12.773	12.61	10.191	10.057	10.814	10.136	9.56	9.1861	9.5797	9.8296	9.6487
Cell_94	8.307	8.2072	8.0053	8.0523	7.8468	8.0023	8.2473	8.1827	8.0178	8.2342	8.1559	8.3608	7.2308	7.4029	7.306	8.1831	7.8581	7.0008	7.1717	7.0882	7.9173	7.9366	7.9374	7.7421	9.9121	8.2191	8.0308	8.7244	8.6149	7.9589	8.1653	6.9622	7.0629	7.0708	8.1712	8.2032	8.6894	8.2166	8.3686	8.088	8.201	8.2571	8.3317	7.6518	7.9375	8.1353	8.3202	9.2884	8.0607	8.0297
Cell_95	8.2576	8.2777	6.8057	6.914	7.2209	8.0969	8.0003	8.2777	8.324	8.4835	8.4672	7.347	6.7477	6.85	6.5341	8.0797	8.1402	6.9327	6.9941	7.0413	8.1338	8.1868	8.0255	8.0601	7.96	9.5024	9.2399	8.0681	8.0626	8.2869	8.0338	7.0295	6.782	6.8756	8.5781	8.5605	9.7066	8.0792	8.2136	8.5461	8.4618	6.9955	6.7037	6.6832	9.6672	9.6458	12.267	10.071	8.3396	8.3341
Cell_96	8.1951	8.0953	7.3964	7.3578	7.3923	6.9985	7.1762	7.6105	7.339	8.0096	7.965	7.4226	8.3354	7.9385	8.1258	7.6874	8.1772	7.463	7.5945	8.0241	7.5273	7.6876	7.1054	7.2845	8.8062	7.7415	7.7166	7.4152	7.4231	7.6944	7.638	7.4297	7.0643	7.2508	8.0682	7.9608	7.5935	7.6387	7.6255	7.8165	8.0241	7.1927	7.0994	7.2374	8.1433	7.7914	7.5034	7.6129	7.9123	7.9246
Cell_97	8.6987	8.7276	8.4486	8.4284	8.0726	9.3975	9.1198	9.6326	9.7747	9.0808	9.0812	9.8485	8.6222	8.5042	8.2897	8.3168	8.5526	8.4046	8.4147	8.5018	8.6413	8.6741	8.8932	9.0979	9.096	9.1872	9.0757	8.8403	9.8676	8.915	8.8564	10.029	10.321	10.154	8.983	9.3161	9.1481	8.5824	8.7817	9.028	9.0953	10.878	10.871	9.9076	9.0576	9.0762	9.9689	9.3853	8.6531	8.9821
Cell_98	9.115	8.5787	8.269	8.0368	9.3343	7.9429	8.6548	8.1905	10.525	8.06	8.0871	8.1709	7.9609	8.7248	8.2989	9.2649	8.067	7.8432	8.1689	7.8361	8.1964	8.7774	8.244	8.1535	7.9952	8.2165	8.301	8.0658	8.5273	9.768	8.5825	8.6283	10.384	9.0803	8.3583	10.525	8.3284	8.1905	8.1301	8.6283	8.4812	8.6825	8.301	8.6548	9.0724	8.8893	8.3657	8.533	7.5485	8.1474
Cell_99	8.1563	8.1441	8.2845	8.4084	7.9879	8.3821	8.6264	8.7945	8.7204	8.6517	8.6575	8.7133	8.1975	8.2348	7.587	8.2037	8.4866	7.9219	7.912	7.9056	8.4857	8.5744	8.7077	8.625	8.5903	8.7021	8.9343	8.6553	9.1431	8.1656	8.3377	8.5597	8.8318	8.8414	8.4658	8.7507	8.4815	8.1196	8.3226	8.3961	8.7611	8.6968	8.4784	8.2747	8.7711	8.7502	8.592	8.2639	8.3025	8.489
Cell_100	7.8727	7.6152	7.1564	7.0589	7.2895	7.7203	7.784	8.2136	7.9723	7.8457	7.6754	7.9364	7.251	7.5157	7.4041	7.6719	7.5146	7.6418	7.5555	7.6077	7.6035	7.6169	7.8131	7.6197	6.7235	7.7726	7.5908	8.8246	7.827	7.5439	7.6839	7.177	7.345	7.3544	7.4643	7.6703	8.5427	7.5352	7.606	7.8333	7.7787	6.9685	6.875	6.9254	7.3653	7.6858	7.867	7.6168	7.7671	7.7384
