cell_id,Library,Well,Hours,Media,Mapped.Fragments
CELL_1133,LIB_1133,WELL_1133,0,GM,1552135
CELL_1134,LIB_1134,WELL_1134,24,DM,3764409
CELL_1135,LIB_1135,WELL_1135,48,GM,2455131
CELL_1136,LIB_1136,WELL_1136,72,DM,3226794
CELL_1137,LIB_1137,WELL_1137,0,GM,1132125
CELL_1138,LIB_1138,WELL_1138,24,DM,3022827
CELL_1139,LIB_1139,WELL_1139,48,GM,3919690
CELL_1140,LIB_1140,WELL_1140,72,DM,4547949
CELL_1141,LIB_1141,WELL_1141,0,GM,4422825
CELL_1142,LIB_1142,WELL_1142,24,DM,4923583
CELL_1143,LIB_1143,WELL_1143,48,GM,2252842
CELL_1144,LIB_1144,WELL_1144,72,DM,1089973
CELL_1145,LIB_1145,WELL_1145,0,GM,1593167
CELL_1146,LIB_1146,WELL_1146,24,DM,2254165
CELL_1147,LIB_1147,WELL_1147,48,GM,1617598
CELL_1148,LIB_1148,WELL_1148,72,DM,2694596
CELL_1149,LIB_1149,WELL_1149,0,GM,1439651
CELL_1150,LIB_1150,WELL_1150,24,DM,4661452
CELL_1151,LIB_1151,WELL_1151,48,GM,2403030
CELL_1152,LIB_1152,WELL_1152,72,DM,2569805
CELL_1153,LIB_1153,WELL_1153,0,GM,4688795
CELL_1154,LIB_1154,WELL_1154,24,DM,3910172
CELL_1155,LIB_1155,WELL_1155,48,GM,2226721
CELL_1156,LIB_1156,WELL_1156,72,DM,3511094
CELL_1157,LIB_1157,WELL_1157,0,GM,4805210
CELL_1158,LIB_1158,WELL_1158,24,DM,3831153
CELL_1159,LIB_1159,WELL_1159,48,GM,4219248
CELL_1160,LIB_1160,WELL_1160,72,DM,1572684
CELL_1161,LIB_1161,WELL_1161,0,GM,2930445
CELL_1162,LIB_1162,WELL_1162,24,DM,3040217
CELL_1163,LIB_1163,WELL_1163,48,GM,1481995
CELL_1164,LIB_1164,WELL_1164,72,DM,1979140
CELL_1165,LIB_1165,WELL_1165,0,GM,1108677
CELL_1166,LIB_1166,WELL_1166,24,DM,1419536
CELL_1167,LIB_1167,WELL_1167,48,GM,1221873
CELL_1168,LIB_1168,WELL_1168,72,DM,4563570
CELL_1169,LIB_1169,WELL_1169,0,GM,4365752
CELL_1170,LIB_1170,WELL_1170,24,DM,2977555
CELL_1171,LIB_1171,WELL_1171,48,GM,3039120
CELL_1172,LIB_1172,WELL_1172,72,DM,1349427
CELL_1173,LIB_1173,WELL_1173,0,GM,1403561
CELL_1174,LIB_1174,WELL_1174,24,DM,2706749
CELL_1175,LIB_1175,WELL_1175,48,GM,1351274
CELL_1176,LIB_1176,WELL_1176,72,DM,4429061
CELL_1177,LIB_1177,WELL_1177,0,GM,4275195
CELL_1178,LIB_1178,WELL_1178,24,DM,2313194
CELL_1179,LIB_1179,WELL_1179,48,GM,3055877
CELL_1180,LIB_1180,WELL_1180,72,DM,1393117
CELL_1181,LIB_1181,WELL_1181,0,GM,3941791
CELL_1182,LIB_1182,WELL_1182,24,DM,3481288
CELL_1183,LIB_1183,WELL_1183,48,GM,1601147
CELL_1184,LIB_1184,WELL_1184,72,DM,2290156
CELL_1185,LIB_1185,WELL_1185,0,GM,3155140
CELL_1186,LIB_1186,WELL_1186,24,DM,4476338
CELL_1187,LIB_1187,WELL_1187,48,GM,2383592
CELL_1188,LIB_1188,WELL_1188,72,DM,2975705
CELL_1189,LIB_1189,WELL_1189,0,GM,1881969
CELL_1190,LIB_1190,WELL_1190,24,DM,3977857
CELL_1191,LIB_1191,WELL_1191,48,GM,3292355
CELL_1192,LIB_1192,WELL_1192,72,DM,2827738
CELL_1193,LIB_1193,WELL_1193,0,GM,2881706
CELL_1194,LIB_1194,WELL_1194,24,DM,1400180
CELL_1195,LIB_1195,WELL_1195,48,GM,4849104
CELL_1196,LIB_1196,WELL_1196,72,DM,2801219
CELL_1197,LIB_1197,WELL_1197,0,GM,3313286
CELL_1198,LIB_1198,WELL_1198,24,DM,3923009
CELL_1199,LIB_1199,WELL_1199,48,GM,1332770
CELL_1200,LIB_1200,WELL_1200,72,DM,2256028
CELL_1201,LIB_1201,WELL_1201,0,GM,4462811
CELL_1202,LIB_1202,WELL_1202,24,DM,3812020
CELL_1203,LIB_1203,WELL_1203,48,GM,3253002
CELL_1204,LIB_1204,WELL_1204,72,DM,4592787
CELL_1205,LIB_1205,WELL_1205,0,GM,1927412
CELL_1206,LIB_1206,WELL_1206,24,DM,3226044
CELL_1207,LIB_1207,WELL_1207,48,GM,2947276
CELL_1208,LIB_1208,WELL_1208,72,DM,1949470
CELL_1209,LIB_1209,WELL_1209,0,GM,1736342
CELL_1210,LIB_1210,WELL_1210,24,DM,1113040
CELL_1211,LIB_1211,WELL_1211,48,GM,4327746
CELL_1212,LIB_1212,WELL_1212,72,DM,3258156
CELL_1213,LIB_1213,WELL_1213,0,GM,4308280
CELL_1214,LIB_1214,WELL_1214,24,DM,1835374
CELL_1215,LIB_1215,WELL_1215,48,GM,2194975
CELL_1216,LIB_1216,WELL_1216,72,DM,2715764
CELL_1217,LIB_1217,WELL_1217,0,GM,2721753
CELL_1218,LIB_1218,WELL_1218,24,DM,3666869
CELL_1219,LIB_1219,WELL_1219,48,GM,1317850
CELL_1220,LIB_1220,WELL_1220,72,DM,4448292
CELL_1221,LIB_1221,WELL_1221,0,GM,3455338
CELL_1222,LIB_1222,WELL_1222,24,DM,2771653
CELL_1223,LIB_1223,WELL_1223,48,GM,1180925
CELL_1224,LIB_1224,WELL_1224,72,DM,3657798
CELL_1225,LIB_1225,WELL_1225,0,GM,1920219
CELL_1226,LIB_1226,WELL_1226,24,DM,2827301
CELL_1227,LIB_1227,WELL_1227,48,GM,3818503
CELL_1228,LIB_1228,WELL_1228,72,DM,3753914
CELL_1229,LIB_1229,WELL_1229,0,GM,2517337
CELL_1230,LIB_1230,WELL_1230,24,DM,1408323
CELL_1231,LIB_1231,WELL_1231,48,GM,3235661
CELL_1232,LIB_1232,WELL_1232,72,DM,3949711
CELL_1233,LIB_1233,WELL_1233,0,GM,2854916
CELL_1234,LIB_1234,WELL_1234,24,DM,4661213
CELL_1235,LIB_1235,WELL_1235,48,GM,2424614
CELL_1236,LIB_1236,WELL_1236,72,DM,3623581
CELL_1237,LIB_1237,WELL_1237,0,GM,4044884
CELL_1238,LIB_1238,WELL_1238,24,DM,4114113
CELL_1239,LIB_1239,WELL_1239,48,GM,1165168
CELL_1240,LIB_1240,WELL_1240,72,DM,3451206
CELL_1241,LIB_1241,WELL_1241,0,GM,1580491
CELL_1242,LIB_1242,WELL_1242,24,DM,1311049
CELL_1243,LIB_1243,WELL_1243,48,GM,1785088
CELL_1244,LIB_1244,WELL_1244,72,DM,2528509
CELL_1245,LIB_1245,WELL_1245,0,GM,2347563
CELL_1246,LIB_1246,WELL_1246,24,DM,4052849
CELL_1247,LIB_1247,WELL_1247,48,GM,4075970
CELL_1248,LIB_1248,WELL_1248,72,DM,3100192
CELL_1249,LIB_1249,WELL_1249,0,GM,3795086
CELL_1250,LIB_1250,WELL_1250,24,DM,3378331
CELL_1251,LIB_1251,WELL_1251,48,GM,3357490
CELL_1252,LIB_1252,WELL_1252,72,DM,1873416
CELL_1253,LIB_1253,WELL_1253,0,GM,1844081
CELL_1254,LIB_1254,WELL_1254,24,DM,4242535
CELL_1255,LIB_1255,WELL_1255,48,GM,4513290
CELL_1256,LIB_1256,WELL_1256,72,DM,2480461
CELL_1257,LIB_1257,WELL_1257,0,GM,4688857
CELL_1258,LIB_1258,WELL_1258,24,DM,2376229
CELL_1259,LIB_1259,WELL_1259,48,GM,2482455
CELL_1260,LIB_1260,WELL_1260,72,DM,3177745
CELL_1261,LIB_1261,WELL_1261,0,GM,3475096
CELL_1262,LIB_1262,WELL_1262,24,DM,2488826
CELL_1263,LIB_1263,WELL_1263,48,GM,4661025
CELL_1264,LIB_1264,WELL_1264,72,DM,1224433
CELL_1265,LIB_1265,WELL_1265,0,GM,1793539
CELL_1266,LIB_1266,WELL_1266,24,DM,2838806
CELL_1267,LIB_1267,WELL_1267,48,GM,3807515
CELL_1268,LIB_1268,WELL_1268,72,DM,3349884
CELL_1269,LIB_1269,WELL_1269,0,GM,1441015
CELL_1270,LIB_1270,WELL_1270,24,DM,3541755
CELL_1271,LIB_1271,WELL_1271,48,GM,2056891
CELL_1272,LIB_1272,WELL_1272,72,DM,3039991
CELL_1273,LIB_1273,WELL_1273,0,GM,3405916
CELL_1274,LIB_1274,WELL_1274,24,DM,3175133
CELL_1275,LIB_1275,WELL_1275,48,GM,1792464
CELL_1276,LIB_1276,WELL_1276,72,DM,2625505
CELL_1277,LIB_1277,WELL_1277,0,GM,1559233
CELL_1278,LIB_1278,WELL_1278,24,DM,3888319
CELL_1279,LIB_1279,WELL_1279,48,GM,4173443
CELL_1280,LIB_1280,WELL_1280,72,DM,3173072
CELL_1281,LIB_1281,WELL_1281,0,GM,4234867
CELL_1282,LIB_1282,WELL_1282,24,DM,3075860
CELL_1283,LIB_1283,WELL_1283,48,GM,1869506
CELL_1284,LIB_1284,WELL_1284,72,DM,2054031
CELL_1285,LIB_1285,WELL_1285,0,GM,4555716
CELL_1286,LIB_1286,WELL_1286,24,DM,4360973
CELL_1287,LIB_1287,WELL_1287,48,GM,3581605
CELL_1288,LIB_1288,WELL_1288,72,DM,4250754
CELL_1289,LIB_1289,WELL_1289,0,GM,3503061
CELL_1290,LIB_1290,WELL_1290,24,DM,4166745
CELL_1291,LIB_1291,WELL_1291,48,GM,3744739
CELL_1292,LIB_1292,WELL_1292,72,DM,4875436
CELL_1293,LIB_1293,WELL_1293,0,GM,1230697
CELL_1294,LIB_1294,WELL_1294,24,DM,1869287
CELL_1295,LIB_1295,WELL_1295,48,GM,3892618
CELL_1296,LIB_1296,WELL_1296,72,DM,3585334
CELL_1297,LIB_1297,WELL_1297,0,GM,3980902
CELL_1298,LIB_1298,WELL_1298,24,DM,1075507
CELL_1299,LIB_1299,WELL_1299,48,GM,2871597
CELL_1300,LIB_1300,WELL_1300,72,DM,2775769
CELL_1301,LIB_1301,WELL_1301,0,GM,2562574
CELL_1302,LIB_1302,WELL_1302,24,DM,1042911
CELL_1303,LIB_1303,WELL_1303,48,GM,1944922
CELL_1304,LIB_1304,WELL_1304,72,DM,1777409
CELL_1305,LIB_1305,WELL_1305,0,GM,2955238
CELL_1306,LIB_1306,WELL_1306,24,DM,1912362
CELL_1307,LIB_1307,WELL_1307,48,GM,2902425
CELL_1308,LIB_1308,WELL_1308,72,DM,3250531
CELL_1309,LIB_1309,WELL_1309,0,GM,2259558
CELL_1310,LIB_1310,WELL_1310,24,DM,4331716
CELL_1311,LIB_1311,WELL_1311,48,GM,4405795
CELL_1312,LIB_1312,WELL_1312,72,DM,4576570
CELL_1313,LIB_1313,WELL_1313,0,GM,4066014
CELL_1314,LIB_1314,WELL_1314,24,DM,4896173
CELL_1315,LIB_1315,WELL_1315,48,GM,2796777
CELL_1316,LIB_1316,WELL_1316,72,DM,2444430
CELL_1317,LIB_1317,WELL_1317,0,GM,1850917
CELL_1318,LIB_1318,WELL_1318,24,DM,4919023
CELL_1319,LIB_1319,WELL_1319,48,GM,3374081
CELL_1320,LIB_1320,WELL_1320,72,DM,3246312
CELL_1321,LIB_1321,WELL_1321,0,GM,3513658
CELL_1322,LIB_1322,WELL_1322,24,DM,4675866
CELL_1323,LIB_1323,WELL_1323,48,GM,4593848
CELL_1324,LIB_1324,WELL_1324,72,DM,2955220
CELL_1325,LIB_1325,WELL_1325,0,GM,4771115
CELL_1326,LIB_1326,WELL_1326,24,DM,4293254
CELL_1327,LIB_1327,WELL_1327,48,GM,1472995
CELL_1328,LIB_1328,WELL_1328,72,DM,1239648
CELL_1329,LIB_1329,WELL_1329,0,GM,4309365
CELL_1330,LIB_1330,WELL_1330,24,DM,4899872
CELL_1331,LIB_1331,WELL_1331,48,GM,4095112
CELL_1332,LIB_1332,WELL_1332,72,DM,1427623
CELL_1333,LIB_1333,WELL_1333,0,GM,2759651
CELL_1334,LIB_1334,WELL_1334,24,DM,2845761
CELL_1335,LIB_1335,WELL_1335,48,GM,4369017
CELL_1336,LIB_1336,WELL_1336,72,DM,3085557
CELL_1337,LIB_1337,WELL_1337,0,GM,4662614
CELL_1338,LIB_1338,WELL_1338,24,DM,4226758
CELL_1339,LIB_1339,WELL_1339,48,GM,3887886
CELL_1340,LIB_1340,WELL_1340,72,DM,4240945
CELL_1341,LIB_1341,WELL_1341,0,GM,4216827
CELL_1342,LIB_1342,WELL_1342,24,DM,1947826
CELL_1343,LIB_1343,WELL_1343,48,GM,1090101
CELL_1344,LIB_1344,WELL_1344,72,DM,2743683
CELL_1345,LIB_1345,WELL_1345,0,GM,3722622
CELL_1346,LIB_1346,WELL_1346,24,DM,2422996
CELL_1347,LIB_1347,WELL_1347,48,GM,4220529
CELL_1348,LIB_1348,WELL_1348,72,DM,2808304
CELL_1349,LIB_1349,WELL_1349,0,GM,1525170
CELL_1350,LIB_1350,WELL_1350,24,DM,1709311
CELL_1351,LIB_1351,WELL_1351,48,GM,2296936
CELL_1352,LIB_1352,WELL_1352,72,DM,3148203
CELL_1353,LIB_1353,WELL_1353,0,GM,4351040
CELL_1354,LIB_1354,WELL_1354,24,DM,2588159
CELL_1355,LIB_1355,WELL_1355,48,GM,3833920
CELL_1356,LIB_1356,WELL_1356,72,DM,1533561
CELL_1357,LIB_1357,WELL_1357,0,GM,4691422
CELL_1358,LIB_1358,WELL_1358,24,DM,1663880
CELL_1359,LIB_1359,WELL_1359,48,GM,3182750
CELL_1360,LIB_1360,WELL_1360,72,DM,3201953
CELL_1361,LIB_1361,WELL_1361,0,GM,1211055
CELL_1362,LIB_1362,WELL_1362,24,DM,4462180
CELL_1363,LIB_1363,WELL_1363,48,GM,4176994
CELL_1364,LIB_1364,WELL_1364,72,DM,1684476
CELL_1365,LIB_1365,WELL_1365,0,GM,1018092
CELL_1366,LIB_1366,WELL_1366,24,DM,1937396
CELL_1367,LIB_1367,WELL_1367,48,GM,1706327
CELL_1368,LIB_1368,WELL_1368,72,DM,2487084
CELL_1369,LIB_1369,WELL_1369,0,GM,2180680
CELL_1370,LIB_1370,WELL_1370,24,DM,4092705
CELL_1371,LIB_1371,WELL_1371,48,GM,2961142
CELL_1372,LIB_1372,WELL_1372,72,DM,4643757
CELL_1373,LIB_1373,WELL_1373,0,GM,1420651
CELL_1374,LIB_1374,WELL_1374,24,DM,4066155
CELL_1375,LIB_1375,WELL_1375,48,GM,4255315
CELL_1376,LIB_1376,WELL_1376,72,DM,3259501
CELL_1377,LIB_1377,WELL_1377,0,GM,2016747
CELL_1378,LIB_1378,WELL_1378,24,DM,4830434
CELL_1379,LIB_1379,WELL_1379,48,GM,4037494
CELL_1380,LIB_1380,WELL_1380,72,DM,3280073
CELL_1381,LIB_1381,WELL_1381,0,GM,1098091
CELL_1382,LIB_1382,WELL_1382,24,DM,2956117
CELL_1383,LIB_1383,WELL_1383,48,GM,4695006
CELL_1384,LIB_1384,WELL_1384,72,DM,4194095
CELL_1385,LIB_1385,WELL_1385,0,GM,4685844
CELL_1386,LIB_1386,WELL_1386,24,DM,4415559
CELL_1387,LIB_1387,WELL_1387,48,GM,2709655
CELL_1388,LIB_1388,WELL_1388,72,DM,3046870
CELL_1389,LIB_1389,WELL_1389,0,GM,2435399
CELL_1390,LIB_1390,WELL_1390,24,DM,1905436
CELL_1391,LIB_1391,WELL_1391,48,GM,1200452
CELL_1392,LIB_1392,WELL_1392,72,DM,1460824
CELL_1393,LIB_1393,WELL_1393,0,GM,2193061
CELL_1394,LIB_1394,WELL_1394,24,DM,2978333
CELL_1395,LIB_1395,WELL_1395,48,GM,2171003
CELL_1396,LIB_1396,WELL_1396,72,DM,3033297
CELL_1397,LIB_1397,WELL_1397,0,GM,2935560
CELL_1398,LIB_1398,WELL_1398,24,DM,4727574
CELL_1399,LIB_1399,WELL_1399,48,GM,4401142
CELL_1400,LIB_1400,WELL_1400,72,DM,4610005
CELL_1401,LIB_1401,WELL_1401,0,GM,1591340
CELL_1402,LIB_1402,WELL_1402,24,DM,3316637
CELL_1403,LIB_1403,WELL_1403,48,GM,4846750
CELL_1404,LIB_1404,WELL_1404,72,DM,1432820
CELL_1405,LIB_1405,WELL_1405,0,GM,2174021
CELL_1406,LIB_1406,WELL_1406,24,DM,3385750
CELL_1407,LIB_1407,WELL_1407,48,GM,3457467
CELL_1408,LIB_1408,WELL_1408,72,DM,3487144
CELL_1409,LIB_1409,WELL_1409,0,GM,1676940
CELL_1410,LIB_1410,WELL_1410,24,DM,2125998
CELL_1411,LIB_1411,WELL_1411,48,GM,3201867
CELL_1412,LIB_1412,WELL_1412,72,DM,2381288
CELL_1413,LIB_1413,WELL_1413,0,GM,4433500
CELL_1414,LIB_1414,WELL_1414,24,DM,4665333
CELL_1415,LIB_1415,WELL_1415,48,GM,3071340
CELL_1416,LIB_1416,WELL_1416,72,DM,1545054
CELL_1417,LIB_1417,WELL_1417,0,GM,4652807
CELL_1418,LIB_1418,WELL_1418,24,DM,1109743
CELL_1419,LIB_1419,WELL_1419,48,GM,3500958
CELL_1420,LIB_1420,WELL_1420,72,DM,3704596
CELL_1421,LIB_1421,WELL_1421,0,GM,3340390
CELL_1422,LIB_1422,WELL_1422,24,DM,4273982
CELL_1423,LIB_1423,WELL_1423,48,GM,2020257
CELL_1424,LIB_1424,WELL_1424,72,DM,1853189
CELL_1425,LIB_1425,WELL_1425,0,GM,3051645
CELL_1426,LIB_1426,WELL_1426,24,DM,1622754
CELL_1427,LIB_1427,WELL_1427,48,GM,3941719
CELL_1428,LIB_1428,WELL_1428,72,DM,3257505
CELL_1429,LIB_1429,WELL_1429,0,GM,3852091
CELL_1430,LIB_1430,WELL_1430,24,DM,3564602
CELL_1431,LIB_1431,WELL_1431,48,GM,1776509
CELL_1432,LIB_1432,WELL_1432,72,DM,4823158
CELL_1433,LIB_1433,WELL_1433,0,GM,4406987
CELL_1434,LIB_1434,WELL_1434,24,DM,3865881
CELL_1435,LIB_1435,WELL_1435,48,GM,2226875
CELL_1436,LIB_1436,WELL_1436,72,DM,1466822
CELL_1437,LIB_1437,WELL_1437,0,GM,1140060
CELL_1438,LIB_1438,WELL_1438,24,DM,2952335
CELL_1439,LIB_1439,WELL_1439,48,GM,4599682
CELL_1440,LIB_1440,WELL_1440,72,DM,1934357
CELL_1441,LIB_1441,WELL_1441,0,GM,4209320
CELL_1442,LIB_1442,WELL_1442,24,DM,2431112
CELL_1443,LIB_1443,WELL_1443,48,GM,1632114
CELL_1444,LIB_1444,WELL_1444,72,DM,1369573
CELL_1445,LIB_1445,WELL_1445,0,GM,2281832
CELL_1446,LIB_1446,WELL_1446,24,DM,1279836
CELL_1447,LIB_1447,WELL_1447,48,GM,3836391
CELL_1448,LIB_1448,WELL_1448,72,DM,1877482
CELL_1449,LIB_1449,WELL_1449,0,GM,1095312
CELL_1450,LIB_1450,WELL_1450,24,DM,4668578
CELL_1451,LIB_1451,WELL_1451,48,GM,3006930
CELL_1452,LIB_1452,WELL_1452,72,DM,4894936
CELL_1453,LIB_1453,WELL_1453,0,GM,2979198
CELL_1454,LIB_1454,WELL_1454,24,DM,1105622
CELL_1455,LIB_1455,WELL_1455,48,GM,3209476
CELL_1456,LIB_1456,WELL_1456,72,DM,3437721
CELL_1457,LIB_1457,WELL_1457,0,GM,3083513
CELL_1458,LIB_1458,WELL_1458,24,DM,1306052
CELL_1459,LIB_1459,WELL_1459,48,GM,3914465
CELL_1460,LIB_1460,WELL_1460,72,DM,1077609
CELL_1461,LIB_1461,WELL_1461,0,GM,4171093
CELL_1462,LIB_1462,WELL_1462,24,DM,1983211
CELL_1463,LIB_1463,WELL_1463,48,GM,3730689
CELL_1464,LIB_1464,WELL_1464,72,DM,2790881
CELL_1465,LIB_1465,WELL_1465,0,GM,3474356
CELL_1466,LIB_1466,WELL_1466,24,DM,3298042
CELL_1467,LIB_1467,WELL_1467,48,GM,3294927
CELL_1468,LIB_1468,WELL_1468,72,DM,3412700
CELL_1469,LIB_1469,WELL_1469,0,GM,1174634
CELL_1470,LIB_1470,WELL_1470,24,DM,1470997
CELL_1471,LIB_1471,WELL_1471,48,GM,4803787
CELL_1472,LIB_1472,WELL_1472,72,DM,4294322
CELL_1473,LIB_1473,WELL_1473,0,GM,1765987
CELL_1474,LIB_1474,WELL_1474,24,DM,3201137
CELL_1475,LIB_1475,WELL_1475,48,GM,3231166
CELL_1476,LIB_1476,WELL_1476,72,DM,4306653
CELL_1477,LIB_1477,WELL_1477,0,GM,1331010
CELL_1478,LIB_1478,WELL_1478,24,DM,1593402
CELL_1479,LIB_1479,WELL_1479,48,GM,3102746
CELL_1480,LIB_1480,WELL_1480,72,DM,2939664
CELL_1481,LIB_1481,WELL_1481,0,GM,2737297
CELL_1482,LIB_1482,WELL_1482,24,DM,1132323
CELL_1483,LIB_1483,WELL_1483,48,GM,4668171
CELL_1484,LIB_1484,WELL_1484,72,DM,1327715
CELL_1485,LIB_1485,WELL_1485,0,GM,4734362
CELL_1486,LIB_1486,WELL_1486,24,DM,1277474
CELL_1487,LIB_1487,WELL_1487,48,GM,2254508
CELL_1488,LIB_1488,WELL_1488,72,DM,1849196
CELL_1489,LIB_1489,WELL_1489,0,GM,2625529
CELL_1490,LIB_1490,WELL_1490,24,DM,1555849
CELL_1491,LIB_1491,WELL_1491,48,GM,1569134
CELL_1492,LIB_1492,WELL_1492,72,DM,4415893
CELL_1493,LIB_1493,WELL_1493,0,GM,1599322
CELL_1494,LIB_1494,WELL_1494,24,DM,3641910
CELL_1495,LIB_1495,WELL_1495,48,GM,1334706
CELL_1496,LIB_1496,WELL_1496,72,DM,3642253
CELL_1497,LIB_1497,WELL_1497,0,GM,2965313
CELL_1498,LIB_1498,WELL_1498,24,DM,4503885
CELL_1499,LIB_1499,WELL_1499,48,GM,3522205
CELL_1500,LIB_1500,WELL_1500,72,DM,3407219
CELL_1501,LIB_1501,WELL_1501,0,GM,1739796
CELL_1502,LIB_1502,WELL_1502,24,DM,2624411
CELL_1503,LIB_1503,WELL_1503,48,GM,4483773
CELL_1504,LIB_1504,WELL_1504,72,DM,1334086
CELL_1505,LIB_1505,WELL_1505,0,GM,3914569
CELL_1506,LIB_1506,WELL_1506,24,DM,3581785
CELL_1507,LIB_1507,WELL_1507,48,GM,4693998
CELL_1508,LIB_1508,WELL_1508,72,DM,4605082
CELL_1509,LIB_1509,WELL_1509,0,GM,1799217
CELL_1510,LIB_1510,WELL_1510,24,DM,2307623
CELL_1511,LIB_1511,WELL_1511,48,GM,4240244
CELL_1512,LIB_1512,WELL_1512,72,DM,1427260
CELL_1513,LIB_1513,WELL_1513,0,GM,1460587
CELL_1514,LIB_1514,WELL_1514,24,DM,4870698
CELL_1515,LIB_1515,WELL_1515,48,GM,1598389
CELL_1516,LIB_1516,WELL_1516,72,DM,3661529
CELL_1517,LIB_1517,WELL_1517,0,GM,2790461
CELL_1518,LIB_1518,WELL_1518,24,DM,2561617
CELL_1519,LIB_1519,WELL_1519,48,GM,3440402
CELL_1520,LIB_1520,WELL_1520,72,DM,3649754
CELL_1521,LIB_1521,WELL_1521,0,GM,2316209
CELL_1522,LIB_1522,WELL_1522,24,DM,3682787
CELL_1523,LIB_1523,WELL_1523,48,GM,2850138
CELL_1524,LIB_1524,WELL_1524,72,DM,1193671
CELL_1525,LIB_1525,WELL_1525,0,GM,1144108
CELL_1526,LIB_1526,WELL_1526,24,DM,3395930
CELL_1527,LIB_1527,WELL_1527,48,GM,3948685
CELL_1528,LIB_1528,WELL_1528,72,DM,3273632
CELL_1529,LIB_1529,WELL_1529,0,GM,4170278
CELL_1530,LIB_1530,WELL_1530,24,DM,2411302
CELL_1531,LIB_1531,WELL_1531,48,GM,4337992
CELL_1532,LIB_1532,WELL_1532,72,DM,1610746
CELL_1533,LIB_1533,WELL_1533,0,GM,2869751
CELL_1534,LIB_1534,WELL_1534,24,DM,3416725
CELL_1535,LIB_1535,WELL_1535,48,GM,1385860
CELL_1536,LIB_1536,WELL_1536,72,DM,3358409
CELL_1537,LIB_1537,WELL_1537,0,GM,3508210
CELL_1538,LIB_1538,WELL_1538,24,DM,3885701
CELL_1539,LIB_1539,WELL_1539,48,GM,2026144
CELL_1540,LIB_1540,WELL_1540,72,DM,1713349
CELL_1541,LIB_1541,WELL_1541,0,GM,2452424
CELL_1542,LIB_1542,WELL_1542,24,DM,3959061
CELL_1543,LIB_1543,WELL_1543,48,GM,3558857
CELL_1544,LIB_1544,WELL_1544,72,DM,2584810
CELL_1545,LIB_1545,WELL_1545,0,GM,3082705
CELL_1546,LIB_1546,WELL_1546,24,DM,4607403
CELL_1547,LIB_1547,WELL_1547,48,GM,1130867
CELL_1548,LIB_1548,WELL_1548,72,DM,4278373
CELL_1549,LIB_1549,WELL_1549,0,GM,3269035
CELL_1550,LIB_1550,WELL_1550,24,DM,2968725
CELL_1551,LIB_1551,WELL_1551,48,GM,1461793
CELL_1552,LIB_1552,WELL_1552,72,DM,2120906
CELL_1553,LIB_1553,WELL_1553,0,GM,3502943
CELL_1554,LIB_1554,WELL_1554,24,DM,4586026
CELL_1555,LIB_1555,WELL_1555,48,GM,2116840
CELL_1556,LIB_1556,WELL_1556,72,DM,4480628
CELL_1557,LIB_1557,WELL_1557,0,GM,4363740
CELL_1558,LIB_1558,WELL_1558,24,DM,4572268
CELL_1559,LIB_1559,WELL_1559,48,GM,4957852
CELL_1560,LIB_1560,WELL_1560,72,DM,3471896
CELL_1561,LIB_1561,WELL_1561,0,GM,2476310
CELL_1562,LIB_1562,WELL_1562,24,DM,4448792
CELL_1563,LIB_1563,WELL_1563,48,GM,1946959
CELL_1564,LIB_1564,WELL_1564,72,DM,2916842
CELL_1565,LIB_1565,WELL_1565,0,GM,3725056
CELL_1566,LIB_1566,WELL_1566,24,DM,3998600
CELL_1567,LIB_1567,WELL_1567,48,GM,4198256
CELL_1568,LIB_1568,WELL_1568,72,DM,3338794
CELL_1569,LIB_1569,WELL_1569,0,GM,3883432
CELL_1570,LIB_1570,WELL_1570,24,DM,2623262
CELL_1571,LIB_1571,WELL_1571,48,GM,2282595
CELL_1572,LIB_1572,WELL_1572,72,DM,3314508
CELL_1573,LIB_1573,WELL_1573,0,GM,1179864
CELL_1574,LIB_1574,WELL_1574,24,DM,3052187
CELL_1575,LIB_1575,WELL_1575,48,GM,2498375
CELL_1576,LIB_1576,WELL_1576,72,DM,3362678
CELL_1577,LIB_1577,WELL_1577,0,GM,3536837
CELL_1578,LIB_1578,WELL_1578,24,DM,2374955
CELL_1579,LIB_1579,WELL_1579,48,GM,2284133
CELL_1580,LIB_1580,WELL_1580,72,DM,2774900
CELL_1581,LIB_1581,WELL_1581,0,GM,4182709
CELL_1582,LIB_1582,WELL_1582,24,DM,4459795
CELL_1583,LIB_1583,WELL_1583,48,GM,3345949
CELL_1584,LIB_1584,WELL_1584,72,DM,1357084
CELL_1585,LIB_1585,WELL_1585,0,GM,3722315
CELL_1586,LIB_1586,WELL_1586,24,DM,4335223
CELL_1587,LIB_1587,WELL_1587,48,GM,4262875
CELL_1588,LIB_1588,WELL_1588,72,DM,4918641
CELL_1589,LIB_1589,WELL_1589,0,GM,3532937
CELL_1590,LIB_1590,WELL_1590,24,DM,3446657
CELL_1591,LIB_1591,WELL_1591,48,GM,2096000
CELL_1592,LIB_1592,WELL_1592,72,DM,2664598
CELL_1593,LIB_1593,WELL_1593,0,GM,2361478
CELL_1594,LIB_1594,WELL_1594,24,DM,3243817
CELL_1595,LIB_1595,WELL_1595,48,GM,2418584
CELL_1596,LIB_1596,WELL_1596,72,DM,2550690
CELL_1597,LIB_1597,WELL_1597,0,GM,1077849
