	cell_id	n_genes	total_counts
G956	G956	805	9350.4938
G957	G957	805	6140.0856
G958	G958	805	8396.4028
G959	G959	805	4010.2866000000004
G960	G960	805	7706.1411
G961	G961	805	7054.0633
G962	G962	805	6226.6623
G963	G963	805	6023.3471
G964	G964	805	5038.8547
G965	G965	805	8794.6525
G966	G966	805	7161.8117999999995
G967	G967	805	7344.7758
G968	G968	805	6594.496700000001
G969	G969	805	5443.4599
G970	G970	805	6220.9348
G971	G971	805	6877.9127
G972	G972	805	7845.6821
G973	G973	805	5850.911399999999
G974	G974	805	6255.4782
G975	G975	805	6876.0352
G976	G976	805	6696.143
G977	G977	805	6558.920400000001
G978	G978	805	7161.3153
G979	G979	805	8244.9128
G980	G980	805	6015.3233
G981	G981	805	7461.6368999999995
G982	G982	805	7249.3369
G983	G983	805	5988.2623
G984	G984	805	6354.3663
G985	G985	805	6344.701599999999
G986	G986	805	7209.9951
G987	G987	805	6448.817300000001
G988	G988	805	7546.7792
G989	G989	805	5932.044
G990	G990	805	6538.5612
G991	G991	805	5340.1221000000005
G992	G992	805	8382.170800000002
G993	G993	805	5260.9779
G994	G994	805	6654.7279
G995	G995	805	8117.7896
G996	G996	805	7482.463400000001
G997	G997	805	6970.2961
G998	G998	805	5819.718
G999	G999	805	10261.32
G1000	G1000	805	7102.2492999999995
G1001	G1001	805	7783.6828
G1002	G1002	805	5972.1449999999995
G1003	G1003	805	6867.013
G1004	G1004	805	8540.1558
G1005	G1005	805	4854.763000000001
G1006	G1006	805	6309.4472
G1007	G1007	805	6070.473
G1008	G1008	805	6843.4979
G1009	G1009	805	6720.8803
G1010	G1010	805	5524.4642
G1011	G1011	805	6817.0685
G1012	G1012	805	7486.216899999999
G1013	G1013	805	6724.0470000000005
G1014	G1014	805	6767.4838
G1015	G1015	805	4885.9734
G1016	G1016	805	7233.4465
G1017	G1017	805	6174.9937
G1018	G1018	805	7600.3429
G1019	G1019	805	8483.6947
G1020	G1020	805	8594.8058
G1021	G1021	805	6813.9527
G1022	G1022	805	6123.7571
G1023	G1023	805	8482.4665
G1024	G1024	805	8072.793
G1025	G1025	805	4098.4452
G1026	G1026	805	7594.7995
G1027	G1027	805	7454.0232
G1028	G1028	805	7446.476299999999
G1029	G1029	805	6448.3732
G1030	G1030	805	9138.926599999999
G1031	G1031	805	5595.7836
G1032	G1032	805	6930.8697
G1033	G1033	805	7195.6726
G1034	G1034	805	6575.7322
G1035	G1035	805	9599.5814
G1036	G1036	805	6517.3955000000005
G1037	G1037	805	5869.2665
G1038	G1038	805	8148.241400000001
G1039	G1039	805	7266.0085
G1040	G1040	805	6086.4431
G1041	G1041	805	7963.033299999999
G1042	G1042	805	6810.3093
G1043	G1043	805	5964.0831
G1044	G1044	805	6804.012000000001
G1045	G1045	805	7453.9566
G1046	G1046	805	6964.341
G1047	G1047	805	7087.313300000001
G1048	G1048	805	6337.128100000001
G1049	G1049	805	7841.0751
G1050	G1050	805	7206.183300000001
G1051	G1051	805	7575.5743999999995
G1052	G1052	805	5285.1735
G1053	G1053	805	6003.0196
G1054	G1054	805	7465.2641
G1055	G1055	805	5682.8634
G1056	G1056	805	6031.988399999999
G1057	G1057	805	4983.2811
G1058	G1058	805	7761.8055
G1059	G1059	805	6477.0371
G1060	G1060	805	7505.1466
G1061	G1061	805	6572.764999999999
G1062	G1062	805	9384.4287
G1063	G1063	805	7334.7268
G1064	G1064	805	5600.7005
G1065	G1065	805	7928.6974
G1066	G1066	805	7553.6855
G1067	G1067	805	7033.361000000001
G1068	G1068	805	6699.637199999999
G1069	G1069	805	6652.644
G1070	G1070	805	6364.5953
G1071	G1071	805	6044.2953
G1072	G1072	805	6581.1909
G1073	G1073	805	6441.4586
G1074	G1074	805	7096.291300000001
G1075	G1075	805	7954.681700000001
G1076	G1076	805	6341.6758
G1077	G1077	805	3645.4678999999996
G1078	G1078	805	5309.8727
G1079	G1079	805	6820.5434000000005
G1080	G1080	805	7285.4133
G1081	G1081	805	7098.4748
G1082	G1082	805	6310.885899999999
G1083	G1083	805	6738.8762
G1084	G1084	805	5330.943200000001
G1085	G1085	805	6089.737800000001
G1086	G1086	805	7794.8566
G1087	G1087	805	7176.821
G1088	G1088	805	5957.402099999999
G1089	G1089	805	7730.630999999999
G1090	G1090	805	4833.990400000001
G1091	G1091	805	6572.1663
G1092	G1092	805	9292.300899999998
G1093	G1093	805	6824.1968
G1094	G1094	805	6253.5775
G1095	G1095	805	7691.0278
G1096	G1096	805	6409.0773
G1097	G1097	805	6934.5825
G1098	G1098	805	5487.7934
G1099	G1099	805	7904.6695
G1100	G1100	805	7684.215899999999
G1101	G1101	805	6453.928100000001
G1102	G1102	805	6817.9655
G1103	G1103	805	6961.2251
G1104	G1104	805	6329.5596000000005
G1105	G1105	805	6430.0188
G1106	G1106	805	5516.5712
G1107	G1107	805	5396.5347
G1108	G1108	805	5438.9689
G1109	G1109	805	7450.910599999999
G1110	G1110	805	5415.8994
G1111	G1111	805	6804.915499999999
G1112	G1112	805	6417.017900000001
G1113	G1113	805	6600.8853
G1114	G1114	805	9751.9644
G1115	G1115	805	7224.1421
G1116	G1116	805	6667.9239
G1117	G1117	805	7221.579599999999
G1118	G1118	805	4710.7354
G1119	G1119	805	6218.8272
G1120	G1120	805	7293.5841
G1121	G1121	805	8092.0898
G1122	G1122	805	6893.24
G1123	G1123	805	7433.717299999999
G1124	G1124	805	7496.8308
G1125	G1125	805	6940.8788
G1126	G1126	805	5251.8981
G1127	G1127	805	8812.0157
G1128	G1128	805	5890.8411
G1129	G1129	805	8156.2158
G1130	G1130	805	5682.8881
G1131	G1131	805	7028.9083
G1132	G1132	805	6324.7673
G1133	G1133	805	5295.3033000000005
G1134	G1134	805	8702.8174
G1135	G1135	805	8610.8471
G1136	G1136	805	6551.9509
G1137	G1137	805	5722.4279
G1138	G1138	805	9423.549500000001
G1139	G1139	805	7533.2341
G1140	G1140	805	7292.5644
G1141	G1141	805	7225.2281
G1142	G1142	805	6036.6343
G1143	G1143	805	7537.6173
G1144	G1144	805	3963.1287
G1145	G1145	805	7291.7506
G1146	G1146	805	6534.77
G1147	G1147	805	6972.956899999999
G1148	G1148	805	7472.0357
G1149	G1149	805	6658.4419
G1150	G1150	805	5971.3312000000005
G1151	G1151	805	7115.95
G1152	G1152	805	6097.544400000001
G1153	G1153	805	6173.1813999999995
G1154	G1154	805	7425.4598000000005
G1155	G1155	805	5554.191699999999
G1156	G1156	805	6313.758900000001
G1157	G1157	805	8353.6481
G1158	G1158	805	4615.137000000001
G1159	G1159	805	7278.9558
G1160	G1160	805	6797.4798
G1161	G1161	805	6219.1014
G1162	G1162	805	6315.3268
G1163	G1163	805	5964.2526
G1164	G1164	805	7210.605299999999
G1165	G1165	805	5448.079299999999
G1166	G1166	805	7675.9173
G1167	G1167	805	5858.134999999999
G1168	G1168	805	7156.3083
G1169	G1169	805	4019.0474
G1170	G1170	805	7456.5712
G1171	G1171	805	6668.6525
G1172	G1172	805	8137.1926
G1173	G1173	805	8817.1898
G1174	G1174	805	6628.0975
G1175	G1175	805	6151.097900000001
G1176	G1176	805	7199.6095000000005
G1177	G1177	805	6920.5483
G1178	G1178	805	6161.6613
G1179	G1179	805	6834.1661
G1180	G1180	805	7769.5739
G1181	G1181	805	6156.6638
G1182	G1182	805	6590.4486
G1183	G1183	805	8443.9313
G1184	G1184	805	5500.2232
G1185	G1185	805	6181.8243
G1186	G1186	805	6966.3330000000005
G1187	G1187	805	5410.367200000001
G1188	G1188	805	5888.1601
G1189	G1189	805	5340.9326
G1190	G1190	805	4966.2139
G1191	G1191	805	6164.0235999999995
G1192	G1192	805	8270.969099999998
G1193	G1193	805	6542.4401
G1194	G1194	805	6715.7413
G1195	G1195	805	6741.4221
G1196	G1196	805	7863.993
G1197	G1197	805	6094.503299999999
G1198	G1198	805	7291.4847
G1199	G1199	805	9093.9859
G1200	G1200	805	5849.7315
G1201	G1201	805	6457.8827
G1202	G1202	805	6250.9423
G1203	G1203	805	7573.9234
G1204	G1204	805	7974.5517
G1205	G1205	805	5771.7148
G1206	G1206	805	5446.5159
G1207	G1207	805	6960.1648000000005
G1208	G1208	805	5647.9295
G1209	G1209	805	7330.9539
G1210	G1210	805	6799.2464
G1211	G1211	805	6246.6623
G1212	G1212	805	6352.9023
G1213	G1213	805	6754.1319
G1214	G1214	805	6309.5367
G1215	G1215	805	8145.662499999999
G1216	G1216	805	6816.2912
G1217	G1217	805	7938.496300000001
G1218	G1218	805	5924.448
G1219	G1219	805	7954.5194
G1220	G1220	805	7425.2014
G1221	G1221	805	6094.6725
G1222	G1222	805	6341.596299999999
G1223	G1223	805	5762.055399999999
G1224	G1224	805	5566.287799999999
G1225	G1225	805	6311.0337
G1226	G1226	805	6199.8808
G1227	G1227	805	9005.091100000001
G1228	G1228	805	6205.8894
G1229	G1229	805	4981.9991
G1230	G1230	805	6867.3991000000005
G1231	G1231	805	6904.0457
G1232	G1232	805	6890.1457
G1233	G1233	805	6589.3892000000005
G1234	G1234	805	8276.7778
G1235	G1235	805	6589.5969000000005
G1236	G1236	805	6637.5279
G1237	G1237	805	8468.5311
G1238	G1238	805	6943.3125
G1239	G1239	805	7901.2531
G1240	G1240	805	6300.1227
G1241	G1241	805	6419.956399999999
G1242	G1242	805	8385.5743
G1243	G1243	805	7458.2899
G1244	G1244	805	6093.6165
G1245	G1245	805	6286.782200000001
G1246	G1246	805	6584.912
G1247	G1247	805	6939.0918
G1248	G1248	805	7106.824199999999
G1249	G1249	805	6339.8907
G1250	G1250	805	5496.5895
G1251	G1251	805	6959.8228
G1252	G1252	805	6259.3055
G1253	G1253	805	6905.636399999999
G1254	G1254	805	7178.387000000001
G1255	G1255	805	7224.7915
G1256	G1256	805	6703.9434
G1257	G1257	805	6599.2399000000005
G1258	G1258	805	6850.511
G1259	G1259	805	5909.4336
G1260	G1260	805	4460.699
G1261	G1261	805	6794.6404
G1262	G1262	805	6315.0249
G1263	G1263	805	8621.4941
G1264	G1264	805	6406.1709
G1265	G1265	805	7972.0458
G1266	G1266	805	7715.7811
G1267	G1267	805	8033.025099999999
G1268	G1268	805	6736.508
G1269	G1269	805	7206.6427
G1270	G1270	805	7902.630300000001
G1271	G1271	805	7220.0803
G1272	G1272	805	7435.7771
G1273	G1273	805	6684.1574
G1274	G1274	805	5943.2793
G1275	G1275	805	8289.8802
G1276	G1276	805	5020.8894
G1277	G1277	805	7486.840700000001
G1278	G1278	805	7065.2847
G1279	G1279	805	6674.4564
G1280	G1280	805	6343.2033
G1281	G1281	805	7104.7519999999995
G1282	G1282	805	7254.6476
G1283	G1283	805	6237.889
G1284	G1284	805	9216.394100000001
G1285	G1285	805	6944.5409
G1286	G1286	805	5693.6328
G1287	G1287	805	5534.1224999999995
G1288	G1288	805	7633.7081
G1289	G1289	805	6187.5484
G1290	G1290	805	9252.971899999999
G1291	G1291	805	7158.948
G1292	G1292	805	6856.563
G1293	G1293	805	6414.417100000001
G1294	G1294	805	6456.6762
G1295	G1295	805	5888.6375
G1296	G1296	805	7301.6902
G1297	G1297	805	8006.7251
G1298	G1298	805	4249.2565
G1299	G1299	805	7104.112
G1300	G1300	805	6954.4439
G1301	G1301	805	6627.9546
G1302	G1302	805	6870.089300000001
G1303	G1303	805	6729.376899999999
G1304	G1304	805	8015.588100000001
G1305	G1305	805	9666.0
G1306	G1306	805	6400.308800000001
G1307	G1307	805	8281.1358
G1308	G1308	805	7745.1009
G1309	G1309	805	8112.0931
G1310	G1310	805	6845.916300000001
G1311	G1311	805	5496.9265
G1312	G1312	805	6626.3567
G1313	G1313	805	6855.7217
G1314	G1314	805	7909.807999999999
G1315	G1315	805	8153.6831999999995
G1316	G1316	805	6812.407300000001
G1317	G1317	805	5905.2329
G1318	G1318	805	7392.9451
G1319	G1319	805	5612.0998
G1320	G1320	805	6511.0917
G1321	G1321	805	5820.0166
G1322	G1322	805	9013.897100000002
G1323	G1323	805	7611.1717
G1324	G1324	805	7289.308300000001
G1325	G1325	805	6156.6025
G1326	G1326	805	6010.736000000001
G1327	G1327	805	6486.7229
G1328	G1328	805	7010.4851
G1329	G1329	805	7383.3806
G1330	G1330	805	6617.8969
G1331	G1331	805	7092.0052
G1332	G1332	805	6888.2328
G1333	G1333	805	6903.4097
G1334	G1334	805	7506.3655
G1335	G1335	805	10420.3552
G1336	G1336	805	7616.070900000001
G1337	G1337	805	6659.4231
G1338	G1338	805	6132.3838
G1339	G1339	805	7588.994600000001
G1340	G1340	805	6622.4907
G1341	G1341	805	10444.7745
G1342	G1342	805	6246.8517
G1343	G1343	805	7093.9895
G1344	G1344	805	7710.815500000001
G1345	G1345	805	7783.106
G1346	G1346	805	7961.5116
G1347	G1347	805	6413.9467
G1348	G1348	805	8549.553899999999
G1349	G1349	805	5833.048
G1350	G1350	805	7413.4295999999995
G1351	G1351	805	7526.1384
G1352	G1352	805	6387.4403
G1353	G1353	805	7440.2384
G1354	G1354	805	8622.984799999998
G1355	G1355	805	6577.6474
G1356	G1356	805	5081.112
G1357	G1357	805	6215.1114
G1358	G1358	805	7045.111199999999
G1359	G1359	805	6180.359
G1360	G1360	805	6001.7484
G1361	G1361	805	6080.9894
G1362	G1362	805	6982.3507
G1363	G1363	805	5307.8529
G1364	G1364	805	5881.6098
G1365	G1365	805	7457.8669
G1366	G1366	805	6592.004199999999
G1367	G1367	805	7869.3113
G1368	G1368	805	6600.9983999999995
G1369	G1369	805	7025.4869
G1370	G1370	805	7128.1427
G1371	G1371	805	6905.963400000001
G1372	G1372	805	6784.2587
G1373	G1373	805	6844.2289
G1374	G1374	805	5266.6089
G1375	G1375	805	7696.607599999999
G1376	G1376	805	6716.003200000001
G1377	G1377	805	5292.973399999999
G1378	G1378	805	7895.9523
G1379	G1379	805	6105.2336
G1380	G1380	805	7938.267900000001
G1381	G1381	805	5749.271000000001
G1382	G1382	805	7351.5957
G1383	G1383	805	7516.9189
G1384	G1384	805	8071.9545
G1385	G1385	805	7084.7835000000005
G1386	G1386	805	8352.776300000001
G1387	G1387	805	6537.1517
G1388	G1388	805	6128.8217
G1389	G1389	805	7135.3162
G1390	G1390	805	6013.767600000001
G1391	G1391	805	7283.3369999999995
G1392	G1392	805	5534.3484
G1393	G1393	805	4765.6617
G1394	G1394	805	6283.6197
G1395	G1395	805	6607.104
G1396	G1396	805	6523.8625
G1397	G1397	805	6500.2348999999995
G1398	G1398	805	6876.8449
G1399	G1399	805	5575.8854
G1400	G1400	805	8340.056700000001
G1401	G1401	805	8067.981
G1402	G1402	805	6529.7772
G1403	G1403	805	7848.3292
G1404	G1404	805	7965.3019
G1405	G1405	805	6274.3372
G1406	G1406	805	7389.3623
G1407	G1407	805	7465.1288
G1408	G1408	805	7254.5318
G1409	G1409	805	6502.8579
G1410	G1410	805	6677.565799999999
G1411	G1411	805	6556.6746
G1412	G1412	805	7758.503500000001
G1413	G1413	805	6261.1952
G1414	G1414	805	8721.929800000002
G1415	G1415	805	6863.221
G1416	G1416	805	7084.7478
G1417	G1417	805	5878.5489
G1418	G1418	805	8033.959
G1419	G1419	805	6418.097599999999
G1420	G1420	805	5643.8053
G1421	G1421	805	6463.926600000001
G1422	G1422	805	6966.9565
G1423	G1423	805	7163.9812
G1424	G1424	805	6098.2699
G1425	G1425	805	6235.1695
G1426	G1426	805	6574.428599999999
G1427	G1427	805	6464.0092
G1428	G1428	805	6962.642
G1429	G1429	805	7423.9598000000005
G1430	G1430	805	7751.4269
G1431	G1431	805	6761.6745
G1432	G1432	805	7056.0825
G1433	G1433	805	8052.7723000000005
G1434	G1434	805	6418.3013
G1435	G1435	805	6532.4965999999995
G1436	G1436	805	5968.0238
G1437	G1437	805	6320.4568
G1438	G1438	805	6506.0806
G1439	G1439	805	10035.5015
G1440	G1440	805	6699.7438
G1441	G1441	805	5551.322
G1442	G1442	805	5354.2423
G1443	G1443	805	8445.6168
G1444	G1444	805	7426.1314999999995
G1445	G1445	805	7346.629999999999
G1446	G1446	805	7208.8045999999995
G1447	G1447	805	6676.6518
G1448	G1448	805	4571.7853
G1449	G1449	805	5923.4155
G1450	G1450	805	6252.5129
G1451	G1451	805	8028.2600999999995
G1452	G1452	805	6282.891600000001
G1453	G1453	805	6509.3365
G1454	G1454	805	7519.096600000001
G1455	G1455	805	4753.5988
G1456	G1456	805	6741.022199999999
G1457	G1457	805	7859.883
G1458	G1458	805	7315.350199999999
G1459	G1459	805	6921.7405
G1460	G1460	805	7260.9884
G1461	G1461	805	5831.230599999999
G1462	G1462	805	6882.812399999999
G1463	G1463	805	7683.904200000001
G1464	G1464	805	8112.0439
G1465	G1465	805	7520.3279
G1466	G1466	805	6671.2014
G1467	G1467	805	4754.8321
G1468	G1468	805	9772.661499999998
G1469	G1469	805	7775.788199999999
G1470	G1470	805	6766.0993
G1471	G1471	805	8084.793100000001
G1472	G1472	805	6551.602999999999
G1473	G1473	805	6221.095000000001
G1474	G1474	805	7177.58
G1475	G1475	805	6691.7872
G1476	G1476	805	6433.7698
G1477	G1477	805	9305.104000000001
G1478	G1478	805	5277.844
G1479	G1479	805	7464.8568
G1480	G1480	805	6907.2829
G1481	G1481	805	7427.408300000001
G1482	G1482	805	7127.9401
G1483	G1483	805	4248.2286
G1484	G1484	805	7801.5901
G1485	G1485	805	6493.645
G1486	G1486	805	3604.415
G1487	G1487	805	8829.3167
G1488	G1488	805	7409.2225
G1489	G1489	805	8646.4968
G1490	G1490	805	6964.720499999999
G1491	G1491	805	7985.126700000001
G1492	G1492	805	7493.131200000001
G1493	G1493	805	7453.256
G1494	G1494	805	8001.0779999999995
G1495	G1495	805	5665.2969
G1496	G1496	805	6491.6115
G1497	G1497	805	7283.2882
G1498	G1498	805	6721.9778
G1499	G1499	805	6053.8881
G1500	G1500	805	10068.518100000001
G1501	G1501	805	5914.0444
G1502	G1502	805	6001.1578
G1503	G1503	805	6942.9389
G1504	G1504	805	7399.0669
G1505	G1505	805	7251.2632
G1506	G1506	805	7246.2602
G1507	G1507	805	7092.230799999999
G1508	G1508	805	3711.1618
G1509	G1509	805	6252.918900000001
G1510	G1510	805	5310.8904
G1511	G1511	805	6567.1227
G1512	G1512	805	6162.1258
G1513	G1513	805	7054.9483
G1514	G1514	805	6659.746499999999
G1515	G1515	805	4626.5279
G1516	G1516	805	6112.6091
G1517	G1517	805	4970.4202000000005
G1518	G1518	805	5789.3180999999995
G1519	G1519	805	5609.3902
G1520	G1520	805	9362.7265
G1521	G1521	805	8204.387200000001
G1522	G1522	805	5314.4638
G1523	G1523	805	7076.6034
G1524	G1524	805	6229.9797
G1525	G1525	805	7404.9661
G1526	G1526	805	6835.5181999999995
G1527	G1527	805	7227.4763
G1528	G1528	805	6933.557699999999
G1529	G1529	805	7497.642
G1530	G1530	805	8648.7701
G1531	G1531	805	7734.7453
G1532	G1532	805	6157.9678
G1533	G1533	805	6950.8978
G1534	G1534	805	7480.718800000001
G1535	G1535	805	5908.5918
G1536	G1536	805	7404.497799999999
G1537	G1537	805	11297.971000000001
G1538	G1538	805	6439.357099999999
G1539	G1539	805	8548.8347
G1540	G1540	805	5960.641099999999
G1541	G1541	805	8122.1863
G1542	G1542	805	6568.2652
G1543	G1543	805	6864.736500000001
G1544	G1544	805	8198.2529
G1545	G1545	805	7624.4468
G1546	G1546	805	7502.6047
G1547	G1547	805	5849.1251999999995
G1548	G1548	805	6151.2762999999995
G1549	G1549	805	7444.984600000001
G1550	G1550	805	3459.1627
G1551	G1551	805	7708.4117
G1552	G1552	805	6846.9793
G1553	G1553	805	7422.9106
G1554	G1554	805	6825.4514
G1555	G1555	805	7579.7138
G1556	G1556	805	5584.970600000001
G1557	G1557	805	4325.46
G1558	G1558	805	6848.4182
G1559	G1559	805	9551.469700000001
G1560	G1560	805	7892.3879
G1561	G1561	805	4784.5864
G1562	G1562	805	6059.5475
G1563	G1563	805	6311.1649
G1564	G1564	805	6459.5525
G1565	G1565	805	8656.003
G1566	G1566	805	8568.9635
G1567	G1567	805	6410.970499999999
G1568	G1568	805	3918.8367
G1569	G1569	805	6264.6919
G1570	G1570	805	6509.2379
G1571	G1571	805	6051.2951
G1572	G1572	805	7575.9046
G1573	G1573	805	6618.9575
G1574	G1574	805	7078.5304
G1575	G1575	805	5423.4573
G1576	G1576	805	5964.2276999999995
G1577	G1577	805	8532.3459
G1578	G1578	805	8185.4535000000005
G1579	G1579	805	7038.6733
G1580	G1580	805	7133.904699999999
G1581	G1581	805	7091.7654
G1582	G1582	805	7095.754199999999
G1583	G1583	805	5928.4679
G1584	G1584	805	5566.191699999999
G1585	G1585	805	7949.1317
G1586	G1586	805	7734.6243
G1587	G1587	805	5935.344800000001
G1588	G1588	805	6785.7393
G1589	G1589	805	6742.8399
G1590	G1590	805	4577.9561
G1591	G1591	805	5667.3413
G1592	G1592	805	7635.4866
G1593	G1593	805	6599.1573
G1594	G1594	805	6619.8842
G1595	G1595	805	6635.077300000001
G1596	G1596	805	6074.7528
G1597	G1597	805	6785.0664
G1598	G1598	805	7709.456
G1599	G1599	805	6478.4442
G1600	G1600	805	7109.6071
G1601	G1601	805	6456.7321
G1602	G1602	805	6666.661700000001
G1603	G1603	805	7220.3868999999995
G1604	G1604	805	6456.5195
G1605	G1605	805	6204.378699999999
G1606	G1606	805	7789.312599999999
G1607	G1607	805	6313.5232
G1608	G1608	805	6857.6929
G1609	G1609	805	6161.3899
G1610	G1610	805	7036.5497
G1611	G1611	805	5980.8208
G1612	G1612	805	7948.9971
G1613	G1613	805	7088.6322
G1614	G1614	805	9939.1734
G1615	G1615	805	6362.0911
G1616	G1616	805	7849.965700000001
G1617	G1617	805	8589.6426
G1618	G1618	805	5810.5371000000005
G1619	G1619	805	8174.166300000001
G1620	G1620	805	6970.460499999999
G1621	G1621	805	9501.4366
G1622	G1622	805	7207.209
G1623	G1623	805	6552.957899999999
G1624	G1624	805	6518.5527
G1625	G1625	805	6265.9761
G1626	G1626	805	7092.237999999999
G1627	G1627	805	5704.2941
G1628	G1628	805	6757.4003
G1629	G1629	805	5529.555
G1630	G1630	805	7103.150799999999
G1631	G1631	805	8099.1497
G1632	G1632	805	6194.420899999999
G1633	G1633	805	6486.1203
G1634	G1634	805	5917.2142
G1635	G1635	805	7109.4689
G1636	G1636	805	6838.6243
G1637	G1637	805	7079.2009
G1638	G1638	805	6773.571999999999
G1639	G1639	805	6460.408299999999
G1640	G1640	805	10433.288700000001
G1641	G1641	805	6618.6353
G1642	G1642	805	6274.2871
G1643	G1643	805	6744.5697
G1644	G1644	805	7000.427900000001
G1645	G1645	805	6580.546899999999
G1646	G1646	805	6178.6553
G1647	G1647	805	8186.842799999999
G1648	G1648	805	7296.428000000001
G1649	G1649	805	7328.7079
G1650	G1650	805	9682.7254
G1651	G1651	805	8498.211599999999
G1652	G1652	805	7209.668500000001
G1653	G1653	805	6517.720499999999
G1654	G1654	805	5503.9421999999995
G1655	G1655	805	6350.2947
G1656	G1656	805	4951.8056
G1657	G1657	805	6847.9078
G1658	G1658	805	6270.615400000001
G1659	G1659	805	7419.742
G1660	G1660	805	7145.1257000000005
G1661	G1661	805	7820.8064
G1662	G1662	805	8009.907
G1663	G1663	805	7013.7829
G1664	G1664	805	6816.374900000001
G1665	G1665	805	6268.4538999999995
G1666	G1666	805	7570.2943
G1667	G1667	805	6337.2096
G1668	G1668	805	7851.7636999999995
G1669	G1669	805	5178.5884
G1670	G1670	805	6757.5152
G1671	G1671	805	7084.8423
G1672	G1672	805	7057.140299999999
G1673	G1673	805	7478.587300000001
G1674	G1674	805	6041.6230000000005
G1675	G1675	805	7426.9392
G1676	G1676	805	5400.737499999999
G1677	G1677	805	9220.3415
G1678	G1678	805	5594.3775000000005
G1679	G1679	805	5621.3337
G1680	G1680	805	6370.7329
G1681	G1681	805	7282.8117999999995
G1682	G1682	805	7014.8174
G1683	G1683	805	5402.3826
G1684	G1684	805	7167.869000000001
G1685	G1685	805	6913.654500000001
G1686	G1686	805	7235.0711
G1687	G1687	805	7791.1389
G1688	G1688	805	6370.4056
G1689	G1689	805	6296.7002
G1690	G1690	805	6117.2497
G1691	G1691	805	8896.8092
G1692	G1692	805	7277.1779
G1693	G1693	805	6993.8894
G1694	G1694	805	7587.1356
G1695	G1695	805	5743.0077
G1696	G1696	805	7042.414000000001
G1697	G1697	805	7152.8325
G1698	G1698	805	6933.0461
G1699	G1699	805	5262.3591
G1700	G1700	805	7568.068799999999
G1701	G1701	805	5119.4793
G1702	G1702	805	7436.217700000001
G1703	G1703	805	7204.0612
G1704	G1704	805	7025.478300000001
G1705	G1705	805	6882.1499
G1706	G1706	805	7826.517699999999
G1707	G1707	805	6460.8748
G1708	G1708	805	6413.828600000001
G1709	G1709	805	5715.7832
G1710	G1710	805	8006.7299
G1711	G1711	805	6724.323899999999
G1712	G1712	805	6695.6626
G1713	G1713	805	6897.9229000000005
G1714	G1714	805	6381.6778
G1715	G1715	805	5007.0992
G1716	G1716	805	8248.6957
G1717	G1717	805	7395.899600000001
G1718	G1718	805	6440.490099999999
G1719	G1719	805	6741.3658
G1720	G1720	805	6320.003000000001
G1721	G1721	805	5579.536899999999
G1722	G1722	805	7614.7774
G1723	G1723	805	5748.8841
G1724	G1724	805	6344.0545999999995
G1725	G1725	805	6180.7689
G1726	G1726	805	4268.260200000001
G1727	G1727	805	6867.8407
G1728	G1728	805	6602.244
G1729	G1729	805	8287.065999999999
G1730	G1730	805	8304.8768
G1731	G1731	805	7483.2367
G1732	G1732	805	7466.9871
G1733	G1733	805	7132.9159
G1734	G1734	805	6594.901900000001
G1735	G1735	805	6558.2449
G1736	G1736	805	8545.502400000001
G1737	G1737	805	4339.2622
G1738	G1738	805	6964.621500000001
G1739	G1739	805	6313.9078
G1740	G1740	805	6972.9211
G1741	G1741	805	8728.2518
G1742	G1742	805	5876.778899999999
G1743	G1743	805	7093.4516
G1744	G1744	805	6988.642
G1745	G1745	805	7306.3150000000005
G1746	G1746	805	6845.477199999999
G1747	G1747	805	5832.538500000001
G1748	G1748	805	6157.1675
G1749	G1749	805	8587.1574
G1750	G1750	805	6529.6607
G1751	G1751	805	6745.2817
G1752	G1752	805	8135.812899999999
G1753	G1753	805	5149.177
G1754	G1754	805	7466.730799999999
G1755	G1755	805	6350.740999999999
G1756	G1756	805	6987.7891
G1757	G1757	805	7149.4684
G1758	G1758	805	8564.4107
G1759	G1759	805	7064.2225
G1760	G1760	805	7967.5068
G1761	G1761	805	6086.5304
G1762	G1762	805	8096.5706
G1763	G1763	805	10392.9678
G1764	G1764	805	7480.9015
G1765	G1765	805	7552.1964
G1766	G1766	805	6340.034900000001
G1767	G1767	805	6775.672500000001
G1768	G1768	805	8559.839100000001
G1769	G1769	805	7086.570599999999
G1770	G1770	805	6172.1212000000005
G1771	G1771	805	6085.7008000000005
G1772	G1772	805	7082.867200000001
G1773	G1773	805	10135.810000000001
G1774	G1774	805	8452.6053
G1775	G1775	805	5970.9131
G1776	G1776	805	8001.8524
G1777	G1777	805	7034.8763
G1778	G1778	805	9855.8655
G1779	G1779	805	5220.3714
G1780	G1780	805	8524.2793
G1781	G1781	805	9199.470700000002
G1782	G1782	805	6632.9175000000005
G1783	G1783	805	6334.8126
G1784	G1784	805	8050.4636
G1785	G1785	805	6725.0016
G1786	G1786	805	6230.2203
G1787	G1787	805	7116.0086
G1788	G1788	805	6044.3439
G1789	G1789	805	7840.509
G1790	G1790	805	7768.8109
G1791	G1791	805	6500.4991
G1792	G1792	805	7950.4864
G1793	G1793	805	6568.2073
G1794	G1794	805	6487.2411999999995
G1795	G1795	805	6294.8326
G1796	G1796	805	6918.5954
G1797	G1797	805	5821.1751
G1798	G1798	805	4833.4881000000005
G1799	G1799	805	5796.4106
G1800	G1800	805	7184.682500000001
G1801	G1801	805	6574.3194
